facility_name,address,lat,lon,nearest_walk_time_sec,nearest_walk_distance_m,has_subway_within_600m,num_transit_within_300m,programs
(취약시설)의왕국민체육센터(구: 의왕시국민체육센터수영장),경기도 의왕시 복지로 27 (내손동),37.38203538,126.9751638,98,94,False,5,"[{""program_name"": ""14시 화 목 실버아쿠아로빅(만60세이상)"", ""schedules"": [""화목""]}]"
강남스포츠문화센터수영장,서울특별시 강남구 밤고개로1길 52 (수서동),37.48897316,127.1053399,116,129,True,2,"[{""program_name"": ""실버자유수영A"", ""schedules"": [""월수금""]}, {""program_name"": ""실버자유수영B"", ""schedules"": [""화목""]}]"
경주국민체육센터,경상북도 경주시 유림로5번길 85-15 (황성동),35.8790453,129.21709,162,175,False,1,"[{""program_name"": ""에어로빅 09시"", ""schedules"": [""월화수목금""]}, {""program_name"": ""에어로빅 18시 30분"", ""schedules"": [""월화수목금""]}]"
고양어울림누리내 꽃우물수영장,경기도 고양시 덕양구 어울림로 33 (성사동),37.6490563,126.8353666,288,234,False,3,"[{""program_name"": ""수영(월수금)-실버1반(기초)"", ""schedules"": [""월수금 / 14:00~14:50""]}]"
고양체육관,경기도 고양시 일산서구 중앙로 1601 (대화동),37.6764217,126.7430656,303,276,False,1,"[{""program_name"": ""골프(월수금)-새벽1반(초,중,상급)"", ""schedules"": [""월수금 / 06:00~07:20""]}, {""program_name"": ""골프(월수금)-새벽3반(초,중,상급)"", ""schedules"": [""월수금 / 07:30~08:50""]}, {""program_name"": ""골프(월수금)-성인1반(초,중,상급)"", ""schedules"": [""월수금 / 09:00~10:20""]}, {""program_name"": ""골프(월수금)-성인3반(초,중,상급)"", ""schedules"": [""월수금 / 10:30~11:50""]}, {""program_name"": ""골프(월수금)-성인7반(초,중,상급)"", ""schedules"": [""월수금 / 14:30~15:50""]}, {""program_name"": ""골프(월수금)-성인9반(초,중,상급)"", ""schedules"": [""월수금 / 16:00~17:20""]}, {""program_name"": ""골프(화목)-새벽2반(초,중,상급)"", ""schedules"": [""화목 / 06:00~07:20""]}, {""program_name"": ""골프(화목)-새벽4반(초,중,상급)"", ""schedules"": [""화목 / 07:30~08:50""]}, {""program_name"": ""골프(화목)-성인2반(초,중,상급)"", ""schedules"": [""화목 / 09:00~10:20""]}, {""program_name"": ""골프(화목)-성인4반(초,중,상급)"", ""schedules"": [""화목 / 10:30~11:50""]}, {""program_name"": ""골프(화목)-성인6반(초,중,상급)"", ""schedules"": [""화목 / 13:00~14:20""]}, {""program_name"": ""골프(화목)-성인8반(초,중,상급)"", ""schedules"": [""화목 / 14:30~15:50""]}, {""program_name"": ""라인댄스(월수금)-라인댄스1반(중급)"", ""schedules"": [""월수금 / 13:00~13:50""]}, {""program_name"": ""라인댄스(월수금)-라인댄스3반(초급)"", ""schedules"": [""월수금 / 14:00~14:50""]}, {""program_name"": ""라인댄스(월수금)-라인댄스5반(초급)"", ""schedules"": [""월수금 / 15:00~15:50""]}, {""program_name"": ""라켓볼(월~금)-자유반"", ""schedules"": [""월화수목금 / 09:00~21:50""]}, {""program_name"": ""라켓볼(월수금)-아침3반"", ""schedules"": [""월수금 / 10:00~10:50""]}, {""program_name"": ""라켓볼(월수금)-아침5반"", ""schedules"": [""월수금 / 11:00~11:50""]}, {""program_name"": ""라켓볼(월수금)-야간1반"", ""schedules"": [""월수금 / 20:00~20:50""]}, {""program_name"": ""라켓볼(월수금)-야간3반"", ""schedules"": [""월수금 / 21:00~21:50""]}, {""program_name"": ""라켓볼(월수금)-저녁1반"", ""schedules"": [""월수금 / 19:00~19:50""]}, {""program_name"": ""방송댄스(화목)-방송댄스(중급)"", ""schedules"": [""화목 / 21:00~21:50""]}, {""program_name"": ""방송댄스(화목)-방송댄스(초급)"", ""schedules"": [""화목 / 20:00~20:50""]}, {""program_name"": ""밸리댄스(월수금)-밸리댄스1반"", ""schedules"": [""월수금 / 19:00~19:50""]}, {""program_name"": ""밸리댄스(월수금)-밸리댄스2반"", ""schedules"": [""월수금 / 20:00~20:50""]}, {""program_name"": ""성인발레(화목)-성인발레(중급)"", ""schedules"": [""화목 / 12:00~12:50""]}, {""program_name"": ""성인발레(화목)-성인발레(초급)"", ""schedules"": [""화목 / 13:00~13:50""]}, {""program_name"": ""수영(월~금)-월자유A반"", ""schedules"": [""월화수목금 / 06:00~08:50""]}, {""program_name"": ""수영(월~금)-월자유B반"", ""schedules"": [""월화수목금 / 13:00~15:50""]}, {""program_name"": ""수영(월~금)-월자유C-1반"", ""schedules"": [""월화수목금 / 19:00~20:50""]}, {""program_name"": ""수영(월~금)-월자유C-2반"", ""schedules"": [""월화수목금 / 20:00~20:50""]}, {""program_name"": ""수영(월~금)-월자유C반"", ""schedules"": [""월화수목금 / 18:00~20:50""]}, {""program_name"": ""수영(월수금)-시니어1반(상급)"", ""schedules"": [""월수금 / 11:00~11:50""]}, {""program_name"": ""수영(화목)-시니어2반(교정)"", ""schedules"": [""화목 / 11:00~11:50""]}, {""program_name"": ""수영(화목)-시니어2반(중급)"", ""schedules"": [""화목 / 11:00~11:50""]}, {""program_name"": ""스쿼시(월~금)-자유A반"", ""schedules"": [""월화수목금 / 06:00~08:50""]}, {""program_name"": ""스쿼시(월~금)-자유B반"", ""schedules"": [""월화수목금 / 09:00~11:50""]}, {""program_name"": ""스쿼시(월~금)-자유C반"", ""schedules"": [""월화수목금 / 13:00~17:50""]}, {""program_name"": ""스쿼시(월수금)-새벽1반"", ""schedules"": [""월수금 / 06:00~06:50""]}, {""program_name"": ""스쿼시(월수금)-아침1반"", ""schedules"": [""월수금 / 07:00~07:50""]}, {""program_name"": ""스쿼시(월수금)-아침3반"", ""schedules"": [""월수금 / 08:00~08:50""]}, {""program_name"": ""스쿼시(월수금)-오후1반"", ""schedules"": [""월수금 / 16:00~16:50""]}, {""program_name"": ""스쿼시(월수금)-오후3반"", ""schedules"": [""월수금 / 17:00~17:50""]}, {""program_name"": ""스쿼시(월수금)-오후5반"", ""schedules"": [""월수금 / 13:00~13:50""]}, {""program_name"": ""스쿼시(화목)-새벽2반"", ""schedules"": [""화목 / 06:00~06:50""]}, {""program_name"": ""스쿼시(화목)-아침2반"", ""schedules"": [""화목 / 07:00~07:50""]}, {""program_name"": ""스쿼시(화목)-아침4반"", ""schedules"": [""화목 / 08:00~08:50""]}, {""program_name"": ""스피닝(월수금)-네버스탑1반"", ""schedules"": [""월수금 / 18:30~19:20""]}, {""program_name"": ""스피닝(월수금)-네버스탑3반"", ""schedules"": [""월수금 / 20:00~20:50""]}, {""program_name"": ""스피닝(월수금)-네버스탑5반"", ""schedules"": [""월수금 / 21:10~22:00""]}, {""program_name"": ""스피닝(월수금)-다이나믹1반"", ""schedules"": [""월수금 / 09:30~10:20""]}, {""program_name"": ""스피닝(월수금)-다이나믹3반"", ""schedules"": [""월수금 / 11:00~11:50""]}, {""program_name"": ""스피닝(화목)-네버스탑2반"", ""schedules"": [""화목 / 18:30~19:20""]}, {""program_name"": ""스피닝(화목)-네버스탑4반"", ""schedules"": [""화목 / 20:00~20:50""]}, {""program_name"": ""스피닝(화목)-네버스탑6반"", ""schedules"": [""화목 / 21:10~22:00""]}, {""program_name"": ""스피닝(화목)-다이나믹2반"", ""schedules"": [""화목 / 09:30~10:20""]}, {""program_name"": ""스피닝(화목)-다이나믹4반"", ""schedules"": [""화목 / 11:00~11:50""]}, {""program_name"": ""아쿠아로빅(월수금)-아쿠아3반"", ""schedules"": [""월수금 / 13:00~13:50""]}, {""program_name"": ""아쿠아로빅(월수금)-아쿠아5반"", ""schedules"": [""월수금 / 14:00~14:50""]}, {""program_name"": ""아쿠아로빅(월수금)-아쿠아7반"", ""schedules"": [""월수금 / 15:00~15:50""]}, {""program_name"": ""아쿠아로빅(화목)-아쿠아2반"", ""schedules"": [""화목 / 12:00~12:50""]}, {""program_name"": ""아쿠아로빅(화목)-아쿠아4반"", ""schedules"": [""화목 / 13:00~13:50""]}, {""program_name"": ""아쿠아로빅(화목)-아쿠아6반"", ""schedules"": [""화목 / 14:00~14:50""]}, {""program_name"": ""아쿠아로빅(화목)-아쿠아8반"", ""schedules"": [""화목 / 15:00~15:50""]}, {""program_name"": ""요가(월수금)-오후요가3반"", ""schedules"": [""월수금 / 13:00~13:50""]}, {""program_name"": ""요가(월수금)-오후요가5반"", ""schedules"": [""월수금 / 14:00~14:50""]}, {""program_name"": ""요가(화목)-오후요가2반"", ""schedules"": [""화목 / 12:00~12:50""]}, {""program_name"": ""요가(화목)-오후요가4반"", ""schedules"": [""화목 / 13:00~13:50""]}, {""program_name"": ""헬스(월~금06:00~21:50/토일09:00~17:50)"", ""schedules"": [""월화수목금토일 / 06:00~21:50""]}]"
과천시민회관다목적체육관,경기도 과천시 통영로 5 (중앙동),37.42819137,126.9891538,122,119,True,5,"[{""program_name"": ""SNPE바른자세운동 21시"", ""schedules"": [""월수금""]}, {""program_name"": ""검도 19:30"", ""schedules"": [""월화수목금""]}, {""program_name"": ""다이어트요가20시(월수금)"", ""schedules"": [""월수금""]}, {""program_name"": ""라인댄스11시(입문반)"", ""schedules"": [""월수금""]}, {""program_name"": ""라인댄스12시초급(월수금)"", ""schedules"": [""월수금""]}, {""program_name"": ""라인댄스12시초급(화목)"", ""schedules"": [""화목""]}, {""program_name"": ""라인댄스13시 기초(화목)"", ""schedules"": [""화목""]}, {""program_name"": ""라인댄스13시(월수금/중급)"", ""schedules"": [""월수금""]}, {""program_name"": ""라인댄스15시 중급(월수금)"", ""schedules"": [""월수금""]}, {""program_name"": ""라인댄스15시 초,중급(월수금)"", ""schedules"": [""월수금""]}, {""program_name"": ""라인댄스16시 고급(화목)"", ""schedules"": [""화목""]}, {""program_name"": ""라인댄스16시 초급(월수)"", ""schedules"": [""월수""]}, {""program_name"": ""바른체형요가19시"", ""schedules"": [""화목""]}, {""program_name"": ""벨리댄스21시기초반(월)여성전용"", ""schedules"": [""월""]}, {""program_name"": ""벨리댄스21시초급(수금)여성전용"", ""schedules"": [""수금""]}, {""program_name"": ""새벽,야간반"", ""schedules"": [""월화수목금토""]}, {""program_name"": ""실버리듬필라테스(노인)"", ""schedules"": [""월수금""]}, {""program_name"": ""요가 06시(화목)"", ""schedules"": [""화목""]}, {""program_name"": ""요가 07시(월수금)"", ""schedules"": [""월수금""]}, {""program_name"": ""요가 21시(화목)"", ""schedules"": [""화목""]}, {""program_name"": ""웰빙 태극권"", ""schedules"": [""화목""]}, {""program_name"": ""장애인징검다리노인(관내)"", ""schedules"": [""월화수목금토""]}, {""program_name"": ""줌바휘트니스09시(월수금)"", ""schedules"": [""월수금""]}, {""program_name"": ""줌바휘트니스09시(화목)"", ""schedules"": [""화목""]}, {""program_name"": ""줌바휘트니스10시(월수금)"", ""schedules"": [""월수금""]}, {""program_name"": ""줌바휘트니스10시(화목)"", ""schedules"": [""화목""]}, {""program_name"": ""줌바휘트니스13시(월수금)"", ""schedules"": [""월수금""]}, {""program_name"": ""줌바휘트니스19시(월수금)"", ""schedules"": [""월수금""]}, {""program_name"": ""줌바휘트니스21(월수금)"", ""schedules"": [""월수금""]}, {""program_name"": ""줌바휘트니스21시(화목)"", ""schedules"": [""화목""]}, {""program_name"": ""척추바른스트레칭12시"", ""schedules"": [""월수금""]}, {""program_name"": ""척추바른스트레칭18시"", ""schedules"": [""월수금""]}, {""program_name"": ""파워요가09시(월수금)"", ""schedules"": [""월수금""]}, {""program_name"": ""파워요가10시(월수금)"", ""schedules"": [""월수금""]}, {""program_name"": ""파워요가19시(월수금)"", ""schedules"": [""월수금""]}, {""program_name"": ""필라테스06시(월수금)"", ""schedules"": [""월수금""]}, {""program_name"": ""필라테스11시(월수금)"", ""schedules"": [""월수금""]}, {""program_name"": ""필라테스19시월수금"", ""schedules"": [""월수금""]}, {""program_name"": ""필라테스19시화목"", ""schedules"": [""화목""]}, {""program_name"": ""필라테스20시30분화목"", ""schedules"": [""화목""]}, {""program_name"": ""필라테스20시월수금"", ""schedules"": [""월수금""]}, {""program_name"": ""필라테스20시화목"", ""schedules"": [""화목""]}, {""program_name"": ""필라테스22시월수금"", ""schedules"": [""월수금""]}, {""program_name"": ""필라테스22시화목"", ""schedules"": [""화목""]}, {""program_name"": ""헬스종일반"", ""schedules"": [""월화수목금토""]}, {""program_name"": ""힐링요가"", ""schedules"": [""화목""]}]"
관문실내체육관,경기도 과천시 중앙로 294 (관문동),37.44136466,126.9963478,436,455,False,0,"[{""program_name"": ""11.06(목) 시니어 슬로우 러닝클래스"", ""schedules"": [""목""]}]"
관악구민종합체육센터수영장,서울특별시 관악구 낙성대로3길 37 (봉천동),37.47306649,126.9603153,165,161,False,3,"[{""program_name"": ""청실(수영)"", ""schedules"": [""월수금""]}, {""program_name"": ""청실(체조+수영)"", ""schedules"": [""월수금""]}, {""program_name"": ""홍실(수영)"", ""schedules"": [""화목토""]}, {""program_name"": ""홍실(체조+수영)"", ""schedules"": [""화목토""]}]"
광주시문화스포츠센터,경기도 광주시 회안대로 891 (송정동),37.42690194,127.2548241,307,232,False,2,"[{""program_name"": ""15시/A(기간)_실버연수4개월-(영법교정,1000m)"", ""schedules"": [""월수금""]}, {""program_name"": ""15시/A(진도)_실버상급-10개월차(영법숙달)"", ""schedules"": [""월수금""]}]"
광진구민체육센터수영장,서울특별시 광진구 구천면로 14 (광장동),37.54599901,127.1068221,62,69,False,5,"[{""program_name"": ""[특화]효도수영 13A"", ""schedules"": [""월수금""]}, {""program_name"": ""[특화]효도수영 13B"", ""schedules"": [""화목""]}]"
